zam_prod_id;zamow_id;produkt_id;produkt_kod;kolor;product_rozmiar;cena;ilosc;nastanie;status_odbioru
379;306;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
380;307;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
383;309;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
385;311;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
388;313;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
391;314;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
392;315;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
394;316;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
397;319;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
399;320;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
400;321;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
404;325;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
405;326;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
410;329;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
411;330;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
413;331;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
416;334;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
417;335;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
418;336;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
424;339;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
425;340;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
427;342;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
430;345;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
432;346;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
433;347;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
435;349;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
442;355;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
443;356;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
444;357;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
445;358;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
446;359;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
449;362;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
452;364;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
453;365;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
456;367;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
459;368;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
460;369;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
463;372;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
465;373;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
466;374;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
467;375;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
468;376;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
470;378;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
471;379;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
472;380;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
474;381;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
479;385;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
481;387;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
482;388;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
483;389;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;3;0;0
484;390;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
485;391;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
486;392;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
487;393;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
488;394;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
490;396;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;3;0;0
491;397;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
492;398;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
494;400;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
495;401;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
496;402;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
497;403;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
498;404;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
500;406;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
503;409;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
504;410;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
506;411;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
509;414;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
511;415;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
513;417;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
517;420;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
518;421;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
519;422;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
523;425;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
526;428;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
527;429;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
528;430;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
