Wiek,Plec,Dzien,Zasięg,Wyswietlenia,"Budzet","Kliki",Zakupy,"Komenty_post","Reakcje_post","Początek okresu raportowania","Koniec okresu raportowania"
18-24,male,2020-09-28,467,467,3.35,62,,,,2020-09-28,2020-09-28
25-34,unknown,2020-09-28,6,9,0.06,2,,,,2020-09-28,2020-09-28
18-24,unknown,2020-09-28,2,2,0.02,1,,,,2020-09-28,2020-09-28
35-44,female,2020-09-27,1314,1389,10.53,188,,,6,2020-09-27,2020-09-27
18-24,male,2020-09-27,210,251,2.15,21,,,2,2020-09-27,2020-09-27
18-24,female,2020-09-27,370,384,3.38,26,,,3,2020-09-27,2020-09-27
35-44,male,2020-09-27,878,912,6.94,106,,,5,2020-09-27,2020-09-27
25-34,unknown,2020-09-27,12,14,0.11,0,,,,2020-09-27,2020-09-27
35-44,unknown,2020-09-27,6,11,0.11,2,,,,2020-09-27,2020-09-27
25-34,female,2020-09-27,1960,2141,17.74,211,,1,8,2020-09-27,2020-09-27
25-34,male,2020-09-27,1370,1470,12.22,134,,4,6,2020-09-27,2020-09-27
18-24,unknown,2020-09-27,2,2,0,0,,,,2020-09-27,2020-09-27
35-44,unknown,2020-09-26,2,2,0,0,,,,2020-09-26,2020-09-26
25-34,unknown,2020-09-26,13,13,0.36,1,,1,,2020-09-26,2020-09-26
25-34,female,2020-09-26,1082,1226,15.24,87,,,3,2020-09-26,2020-09-26
35-44,male,2020-09-26,122,122,0.99,6,,,,2020-09-26,2020-09-26
18-24,female,2020-09-26,290,328,3.33,28,,1,3,2020-09-26,2020-09-26
25-34,male,2020-09-26,2085,2275,25.17,122,,2,14,2020-09-26,2020-09-26
18-24,male,2020-09-26,535,597,5.15,27,,,2,2020-09-26,2020-09-26
35-44,female,2020-09-26,121,122,1.24,20,,,,2020-09-26,2020-09-26
18-24,female,2020-09-25,21,21,0.26,0,,,,2020-09-25,2020-09-25
25-34,male,2020-09-25,63,63,1.51,3,,,,2020-09-25,2020-09-25
18-24,male,2020-09-25,17,17,0.31,0,,,,2020-09-25,2020-09-25
25-34,female,2020-09-25,115,116,2.39,9,,,4,2020-09-25,2020-09-25
