Wiek,Plec,Dzien,Zasięg,Wyswietlenia,"Budzet","Kliki",Zakupy,"Komenty_post","Reakcje_post","Początek okresu raportowania","Koniec okresu raportowania"
25-34,male,2020-11-16,3984,4181,29.32,253,1,1,11,2020-11-16,2020-11-16
35-44,male,2020-11-16,4892,5340,35,236,,2,6,2020-11-16,2020-11-16
45-54,male,2020-11-16,1952,2055,14.53,87,,,2,2020-11-16,2020-11-16
35-44,female,2020-11-16,2576,2744,19.2,135,,,7,2020-11-16,2020-11-16
45-54,unknown,2020-11-16,0,3,0.01,0,,,,2020-11-16,2020-11-16
35-44,unknown,2020-11-16,7,7,0.02,0,,,,2020-11-16,2020-11-16
55-64,female,2020-11-16,0,2,0.01,0,,,,2020-11-16,2020-11-16
65+,female,2020-11-16,4,4,0.05,0,,,,2020-11-16,2020-11-16
65+,male,2020-11-16,2,2,0.01,0,,,,2020-11-16,2020-11-16
55-64,male,2020-11-16,0,1,0,0,,,,2020-11-16,2020-11-16
18-24,unknown,2020-11-16,0,1,0,0,,,,2020-11-16,2020-11-16
25-34,unknown,2020-11-16,4,4,0.03,0,,,,2020-11-16,2020-11-16
35-44,female,2020-11-15,2604,2700,19.45,120,,,2,2020-11-15,2020-11-15
45-54,female,2020-11-15,984,1036,7.56,65,,,1,2020-11-15,2020-11-15
45-54,male,2020-11-15,2080,2239,15.88,96,,,3,2020-11-15,2020-11-15
35-44,male,2020-11-15,5440,6257,42.78,244,2,2,7,2020-11-15,2020-11-15
25-34,male,2020-11-15,3416,3730,25.57,192,,1,4,2020-11-15,2020-11-15
25-34,female,2020-11-15,1440,1464,10.62,97,,,3,2020-11-15,2020-11-15
18-24,female,2020-11-15,68,98,0.74,5,,,,2020-11-15,2020-11-15
35-44,unknown,2020-11-15,14,14,0.08,0,,,,2020-11-15,2020-11-15
18-24,male,2020-11-15,240,295,2.16,24,,,,2020-11-15,2020-11-15
25-34,unknown,2020-11-15,8,10,0.09,0,,,,2020-11-15,2020-11-15
65+,male,2020-11-15,0,1,0.01,0,,,,2020-11-15,2020-11-15
65+,female,2020-11-15,4,4,0.07,3,,,,2020-11-15,2020-11-15
55-64,male,2020-11-15,0,5,0.04,0,,,,2020-11-15,2020-11-15
45-54,unknown,2020-11-15,0,5,0.04,0,,,,2020-11-15,2020-11-15
35-44,male,2020-11-14,4115,4586,38.797812843461,193,1,,10,2020-11-14,2020-11-14
45-54,male,2020-11-14,1828,1925,16.914686764013,127,,2,4,2020-11-14,2020-11-14
45-54,female,2020-11-14,964,1014,8.9371926519077,39,,2,1,2020-11-14,2020-11-14
35-44,female,2020-11-14,2396,2625,23.042761815042,136,,,2,2020-11-14,2020-11-14
25-34,female,2020-11-14,1416,1485,13.305820379965,91,,,1,2020-11-14,2020-11-14
25-34,male,2020-11-14,2479,2821,23.982466635265,165,,2,1,2020-11-14,2020-11-14
18-24,female,2020-11-14,52,70,0.6697896059036,5,,,,2020-11-14,2020-11-14
18-24,male,2020-11-14,148,172,1.4395478097033,7,,,,2020-11-14,2020-11-14
